"ORF","Gene","Control Median","Control STD","Control Localization","Repeat 1 Median","Repeat 1 STD","Repeat 1 Localization","Repeat 2 Median","Repeat 2 STD","Repeat 2 Localization","DTT Median","DTT STD","DTT FoldChange","DTT Localization","H2O2 Median","H2O2 STD","H2O2 FoldChange","H2O2 Localization","Starvation Median","Starvation STD","Starvation FoldChange","Starvation Localization","Description"
"YGL100W","SEH1",12.61,3.93255374068513,"below threshold",13.224377,4.22946509765316,"below threshold","12.011417","2.9522094843606301","below threshold","14.32","6.74","1.1299999999999999","cytosol","13.97","2.65","1.1000000000000001","cytosol","18.899999999999999","4.28","1.49","cytosol","Nuclear pore protein that is part of the evolutionarily conserved Nup84p complex (Nup84p, Nup85p, Nup120p, Nup145p, and Seh1p); homologous to Sec13p"
"YLR217W","YLR217W",13.88,3.65758456067701,"below threshold",13.2258545,3.71002287564577,"below threshold","14.548192999999999","3.5189491329925402","below threshold","14.53","4.55","1.04","cytosol","15.52","3.75","1.1100000000000001","cytosol","18.440000000000001","9.59","1.32","cytosol","Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the verified gene CPR6"
"YPL044C","YPL044C",15.53,4.08389595118452,"below threshold",13.2261305,3.27935980659166,"below threshold","17.844086000000001","3.6218872198857199","below threshold","16.13","5.59","1.03","cytosol","16.43","3.44","1.05","cytosol","20.16","2.97","1.29","cytosol","Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the verified gene NOP4/YPL043W"
"YDR455C","YDR455C",13.16,3.50272299744438,"below threshold",13.232794,3.47443424893175,"below threshold","13.102325","3.53029481943486","below threshold","15.6","5.31","1.18","cytosol","14.94","3.32","1.1299999999999999","cytosol","18.62","3.16","1.41","cytosol","Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the verified gene YDR456W"
"YLR149C-A","YLR149C-A",13.08,3.26885571619279,"below threshold",13.238122,3.33336688512147,"below threshold","12.932489","3.2211027079737899","below threshold","16.5","6.42","1.26","cytosol","14.67","3.18","1.1200000000000001","cytosol","16.579999999999998","10.06","1.26","cytosol","Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data"
"YOL085C","YOL085C",14.4,3.97036073486551,"below threshold",13.254171,3.97414140801379,"below threshold","15.555555","3.7495129569836698","below threshold","16.47","5.15","1.1399999999999999","cytosol","16.059999999999999","3.51","1.1100000000000001","cytosol","17.809999999999999","9.32","1.23","cytosol","Dubious open reading frame unlikely to encode a protein, based on experimental and comparative sequence data; partially overlaps the dubious gene YOL085W-A"
"YCR022C","YCR022C",13.08,3.52819740823626,"below threshold",13.255,3.57855037285572,"below threshold","12.916294000000001","3.4862700761172301","below threshold","17.05","6.52","1.3","cytosol","15.16","3.26","1.1499999999999999","cytosol","16.36","6.4","1.25","cytosol","Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; YCR022C is not an essential gene"
"YDR491C","YDR491C",12.33,3.76122741654813,"below threshold",13.269231,3.82582619219863,"below threshold","11.40851","3.4002074233225801","below threshold","14.41","4.4000000000000004","1.1599999999999999","cytosol","13.38","3.78","1.08","cytosol","17.62","5.09","1.42","cytosol","Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data"
"YFR029W","PTR3",13.55,4.34493385771352,"below threshold",13.2720065,4.68669181001791,"below threshold","13.858369","3.7058104989871699","below threshold","14.2","5.63","1.04","cytosol","14.96","3.18","1.1000000000000001","cytosol","17.72","6.55","1.3","cytosol","Component of the SPS plasma membrane amino acid sensor system (Ssy1p-Ptr3p-Ssy5p), which senses external amino acid concentration and transmits intracellular signals that result in regulation of expression of amino acid permease genes"
"YIL111W","COX5B",12.66,3.78419534720267,"below threshold",13.2831655,3.85140226433066,"below threshold","12.057143","3.5895762201622801","below threshold","15.01","4.66","1.18","cytosol","14.13","4.05","1.1100000000000001","cytosol","17.14","6.31","1.35","cytosol","Subunit Vb of cytochrome c oxidase, which is the terminal member of the mitochondrial inner membrane electron transport chain; predominantly expressed during anaerobic growth while its isoform Va (Cox5Ap) is expressed during aerobic growth"
"YLR160C","ASP3-4",13.29,3.46397210924956,"below threshold",13.285486,3.47132347638625,"below threshold","13.304762","3.46120546504017","below threshold","17.05","5.0999999999999996","1.28","cytosol","17.079999999999998","3.45","1.28","cytosol","23.49","5.17","1.76","cytosol","Cell-wall L-asparaginase II, involved in asparagine catabolism; expression is induced during nitrogen starvation; four copies of ASP3 are present in the genome reference strain S288C"
"YML066C","SMA2",13.78,4.25735712413526,"below threshold",13.3125,4.01027024111735,"below threshold","14.259615","4.3361818164532799","below threshold","15.66","4.7699999999999996","1.1299999999999999","cytosol","18.21","3.44","1.32","cytosol","21.75","4.79","1.57","cytosol","Meiosis-specific prospore membrane protein; required to produce bending force necessary for proper assembly of the prospore membrane during sporulation"
"YIR020C","YIR020C",14.52,4.37165832626336,"below threshold",13.3179675,4.53825302001133,"below threshold","15.746032","3.9558349563470299","below threshold","16.75","5.67","1.1499999999999999","cytosol","16.36","2.82","1.1200000000000001","cytosol","15.74","4.17","1.08","cytosol","Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data"
"YLR282C","YLR282C",14.57,3.74916810469972,"below threshold",13.329109,3.66121998044715,"below threshold","15.8266385","3.4060493263103","below threshold","17.22","5.39","1.18","cytosol","15.75","3.42","1.08","cytosol","16.39","3.57","1.1200000000000001","cytosol","Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data; deletion mutation confers an increase in Ty1 transposition"
"YDR133C","YDR133C",14.32,3.57180784999563,"below threshold",13.342875,3.69515503970592,"below threshold","15.307990500000001","3.3191407076431401","below threshold","17.05","5.79","1.19","cytosol","17.309999999999999","3.16","1.2","cytosol","18.760000000000002","4.5199999999999996","1.31","cytosol","Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps YDR134C"
"YDL194W","SNF3",13.69,3.9222779816109,"below threshold",13.3484585,3.9610714435858,"below threshold","14.058450000000001","3.82853615319137","below threshold","14.5","5.0199999999999996","1.05","cytosol","16.07","2.5099999999999998","1.17","cytosol","16.54","7.47","1.2","cytosol","Plasma membrane low glucose sensor that regulates glucose transport; contains 12 predicted transmembrane segments and a long C-terminal tail required for induction of hexose transporters; also senses fructose and mannose; similar to Rgt2p"
"YLR251W","SYM1",14.98,3.41287528272395,"below threshold",13.360825,3.03021189539371,"below threshold","16.618706","3.0237971914838999","below threshold","15.44","5.66","1.03","cytosol","16.5","3.38","1.1000000000000001","cytosol","17.95","3.29","1.19","cytosol","Protein required for ethanol metabolism; induced by heat shock and localized to the inner mitochondrial membrane; homologous to mammalian peroxisomal membrane protein Mpv17"
"YHL018W","YHL018W",13.35,4.02463542051948,"below threshold",13.37594,3.79316477397788,"below threshold","13.3394525","4.1901538612790699","below threshold","18.190000000000001","6.5","1.36","cytosol","17.37","3.8","1.3","cytosol","15.97","7.87","1.19","cytosol","Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to mitochondria and is induced in response to the DNA-damaging agent MMS"
"YLR461W","PAU4",14.13,3.6912778990156,"below threshold",13.384031,3.95840784291022,"below threshold","14.896496000000001","3.3685324112054298","below threshold","17.23","5.66","1.21","cytosol","16.97","3.67","1.2","cytosol","17.28","9.59","1.22","cytosol","Member of the seripauperin multigene family encoded mainly in subtelomeric regions; active during alcoholic fermentation, regulated by anaerobiosis, negatively regulated by oxygen, repressed by heme"
"YLR261C","VPS63",13.89,3.71027962374449,"below threshold",13.4070455,3.43934666512614,"below threshold","14.392207000000001","3.9774510545451598","below threshold","17.649999999999999","5.88","1.27","cytosol","16.22","3.08","1.1599999999999999","cytosol","16.100000000000001","4.2300000000000004","1.1499999999999999","cytosol","Dubious open reading frame, unlikely to encode a protein; not conserved in closely related Saccharomyces species; 98% of ORF overlaps the verified gene YPT6; deletion causes a vacuolar protein sorting defect"
"YKR061W","KTR2",13.27,3.54899033583834,"below threshold",13.426574,3.8295232165359,"below threshold","13.126445500000001","3.1260096602076399","below threshold","15","4.83","1.1299999999999999","cytosol","14.13","2.76","1.06","cytosol","20.28","3.96","1.52","cytosol","Mannosyltransferase involved in N-linked protein glycosylation; member of the KRE2/MNT1 mannosyltransferase family"
"YER097W","YER097W",14.22,4.13336946057693,"below threshold",13.427273,3.98358726959639,"below threshold","15.0304295","4.1943235874130202","below threshold","14.73","6.63","1.03","cytosol","15.8","3.91","1.1100000000000001","cytosol","16.829999999999998","8.2799999999999994","1.18","cytosol","Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data"
"YLR465C","BSC3",14.14,3.92297049612848,"below threshold",13.441748,3.21774140783053,"below threshold","14.8529985","4.1685460663212597","below threshold","16.68","5.26","1.17","cytosol","16.78","3.7","1.18","cytosol","16.23","6.83","1.1399999999999999","cytosol","Dubious open reading frame, unlikely to encode a protein; not conserved in closely related Saccharomyces species; 100% of YLR465C overlaps the uncharacterized ORF YLR464W and 86% of YLR465C overlaps the verified gene YRF1-4"
"YJL150W","YJL150W",13.72,4.266488457354,"below threshold",13.445737,4.42986270924788,"below threshold","14.019220499999999","4.0837652188211102","below threshold","16.71","5.0999999999999996","1.21","cytosol","14.47","2.89","1.05","cytosol","15.19","6.27","1.1000000000000001","cytosol","Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data"
"YDR112W","IRC2",13.95,3.7787343146803,"below threshold",13.4479205,3.65752320733867,"below threshold","14.476271000000001","3.8787046861305701","below threshold","16.16","5.79","1.1499999999999999","cytosol","17.11","3.64","1.22","cytosol","20.309999999999999","5.16","1.45","cytosol","Dubious open reading frame, unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps YDR111C; null mutant displays increased levels of spontaneous Rad52p foci"
"YPL165C","SET6",14.23,3.66236593797037,"below threshold",13.4626725,3.83348268208349,"below threshold","15.005464999999999","3.2059732183294498","below threshold","18.39","5.91","1.29","cytosol","17.87","3.39","1.25","cytosol","23.1","5.5","1.62","cytosol","SET domain protein of unknown function; deletion heterozygote is sensitive to compounds that target ergosterol biosynthesis, may be involved in compound availability"
"YLR415C","YLR415C",14.53,4.01321072618718,"below threshold",13.4717945,3.96974528701749,"below threshold","15.598196","3.82930244200961","below threshold","16.59","5.68","1.1399999999999999","cytosol","15.47","3.38","1.06","cytosol","15.55","3.82","1.07","cytosol","Putative protein of unknown function; YLR415C is not an essential gene"
"YLR162W","YLR162W",14.09,3.4190210886805,"below threshold",13.475983,3.56201762039113,"below threshold","14.716813999999999","3.16182934042557","below threshold","17.57","5.77","1.24","cytosol","16.88","3.49","1.19","cytosol","15.62","5.54","1.1000000000000001","cytosol","Putative protein of unknown function; overexpression confers resistance to the antimicrobial peptide MiAMP1"
